Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.713200e-06,0,-2
-1.712800e-06,0,-2
-1.712400e-06,0,0
-1.712000e-06,0,0
-1.711600e-06,0,-2
-1.711200e-06,0,-2
-1.710800e-06,0,0
-1.710400e-06,0,0
-1.710000e-06,0,0
-1.709600e-06,0.2,-2
-1.709200e-06,0.2,-2
-1.708800e-06,0,0
-1.708400e-06,0,-2
-1.708000e-06,0,-2
-1.707600e-06,0,-2
-1.707200e-06,0.2,0
-1.706800e-06,0,0
-1.706400e-06,0,0
-1.706000e-06,0,-2
-1.705600e-06,0,-2
-1.705200e-06,0,-2
-1.704800e-06,0,-2
-1.704400e-06,0,0
-1.704000e-06,0,-2
-1.703600e-06,0,0
-1.703200e-06,0,0
-1.702800e-06,0,-2
-1.702400e-06,-0.2,-2
-1.702000e-06,-0.2,-2
-1.701600e-06,0,0
-1.701200e-06,-0.2,0
-1.700800e-06,0,-2
-1.700400e-06,0,-2
-1.700000e-06,0,0
-1.699600e-06,0,-2
-1.699200e-06,-0.2,-2
-1.698800e-06,0,-2
-1.698400e-06,0,-2
-1.698000e-06,0,0
-1.697600e-06,-0.2,-2
-1.697200e-06,0,-2
-1.696800e-06,0,-2
-1.696400e-06,0,-2
-1.696000e-06,-0.2,0
-1.695600e-06,0,-2
-1.695200e-06,0,-2
-1.694800e-06,0,0
-1.694400e-06,0,0
-1.694000e-06,-0.2,-2
-1.693600e-06,0,-2
-1.693200e-06,0,0
-1.692800e-06,0,0
-1.692400e-06,0,-2
-1.692000e-06,0,0
-1.691600e-06,0,-2
-1.691200e-06,0,0
-1.690800e-06,0,-2
-1.690400e-06,0,-4
-1.690000e-06,0,-2
-1.689600e-06,0,0
-1.689200e-06,0,0
-1.688800e-06,0.2,-2
-1.688400e-06,0,-2
-1.688000e-06,0,0
-1.687600e-06,0,0
-1.687200e-06,0,-2
-1.686800e-06,0,0
-1.686400e-06,0,0
-1.686000e-06,0.2,0
-1.685600e-06,0,-2
-1.685200e-06,0,0
-1.684800e-06,0,-2
-1.684400e-06,0,-2
-1.684000e-06,0.2,0
-1.683600e-06,0,0
-1.683200e-06,0,0
-1.682800e-06,0,-2
-1.682400e-06,0,0
-1.682000e-06,0,-2
-1.681600e-06,0,0
-1.681200e-06,0,-2
-1.680800e-06,0,0
-1.680400e-06,0,-2
-1.680000e-06,0.2,-2
-1.679600e-06,0,0
-1.679200e-06,0,0
-1.678800e-06,0,-2
-1.678400e-06,0,0
-1.678000e-06,0,-2
-1.677600e-06,0.2,0
-1.677200e-06,0,-2
-1.676800e-06,0,-2
-1.676400e-06,-0.2,-2
-1.676000e-06,0,0
-1.675600e-06,0,0
-1.675200e-06,-0.2,-2
-1.674800e-06,0,0
-1.674400e-06,0,0
-1.674000e-06,0,-2
-1.673600e-06,0,-2
-1.673200e-06,0,0
-1.672800e-06,0,-2
-1.672400e-06,0,-2
-1.672000e-06,0,0
-1.671600e-06,0,0
-1.671200e-06,0,-2
-1.670800e-06,0,-2
-1.670400e-06,0,-2
-1.670000e-06,0,-2
-1.669600e-06,0,-2
-1.669200e-06,0,-2
-1.668800e-06,0,0
-1.668400e-06,-0.2,0
-1.668000e-06,0,-2
-1.667600e-06,0,-2
-1.667200e-06,0,0
-1.666800e-06,0,-2
-1.666400e-06,0,-2
-1.666000e-06,0,0
-1.665600e-06,0,-2
-1.665200e-06,0,0
-1.664800e-06,0,-2
-1.664400e-06,0.2,-2
-1.664000e-06,0,0
-1.663600e-06,0,-2
-1.663200e-06,0,0
-1.662800e-06,0,0
-1.662400e-06,0,0
-1.662000e-06,0,0
-1.661600e-06,0,0
-1.661200e-06,0,-2
-1.660800e-06,0,0
-1.660400e-06,0,0
-1.660000e-06,0,0
-1.659600e-06,0,0
-1.659200e-06,0,-2
-1.658800e-06,0,-2
-1.658400e-06,0,0
-1.658000e-06,0,-2
-1.657600e-06,0,-2
-1.657200e-06,-0.2,-2
-1.656800e-06,-0.2,0
-1.656400e-06,0,-2
-1.656000e-06,0,0
-1.655600e-06,0,-2
-1.655200e-06,0,0
-1.654800e-06,0,-2
-1.654400e-06,0,-2
-1.654000e-06,0,-2
-1.653600e-06,0,0
-1.653200e-06,0,0
-1.652800e-06,0,0
-1.652400e-06,0,-2
-1.652000e-06,0,-2
-1.651600e-06,0,0
-1.651200e-06,0,0
-1.650800e-06,0,0
-1.650400e-06,0,0
-1.650000e-06,0,2
-1.649600e-06,0,-2
-1.649200e-06,0,-2
-1.648800e-06,0,0
-1.648400e-06,0,-2
-1.648000e-06,0,0
-1.647600e-06,0,-2
-1.647200e-06,0,0
-1.646800e-06,0,-2
-1.646400e-06,0,-2
-1.646000e-06,0,0
-1.645600e-06,0,-2
-1.645200e-06,0,0
-1.644800e-06,0,0
-1.644400e-06,0,0
-1.644000e-06,0,-2
-1.643600e-06,0,0
-1.643200e-06,-0.2,-2
-1.642800e-06,0,-2
-1.642400e-06,0,-2
-1.642000e-06,0,-2
-1.641600e-06,0,-2
-1.641200e-06,0,-2
-1.640800e-06,0,0
-1.640400e-06,0,0
-1.640000e-06,0,0
-1.639600e-06,0,0
-1.639200e-06,0,0
-1.638800e-06,0,0
-1.638400e-06,0,-2
-1.638000e-06,0,0
-1.637600e-06,-0.2,-2
-1.637200e-06,0,0
-1.636800e-06,0,0
-1.636400e-06,0,-2
-1.636000e-06,0,-2
-1.635600e-06,0,-2
-1.635200e-06,0,0
-1.634800e-06,0,0
-1.634400e-06,0,-2
-1.634000e-06,0,-2
-1.633600e-06,0,0
-1.633200e-06,0,0
-1.632800e-06,0,0
-1.632400e-06,0.2,0
-1.632000e-06,0,0
-1.631600e-06,0,0
-1.631200e-06,0,0
-1.630800e-06,0,0
-1.630400e-06,0,0
-1.630000e-06,0,0
-1.629600e-06,0,-2
-1.629200e-06,0,-2
